t,x,y,z
0.0,1.0,1.0,1.0
0.001,1.0001295302183766,1.0259889988707085,0.9983485823002748
0.002,1.0005162741539284,1.051960630751238,0.9985087253745272
0.003,1.0011575252289353,1.0779200096371,0.9989215284918027
0.004,1.0020506620525933,1.1038737280639952,0.9995884594379019
0.005,1.0031931545211699,1.1298283000842524,1.0005069162708204
0.006,1.0045825621597813,1.1557901674831155,1.0016743989541297
0.007,1.006216532521564,1.1817657017915757,1.0030884966189024
0.008,1.0080927996226976,1.2077612062783432,1.004746886023624
0.009000000000000001,1.010209182412661,1.2337829179100044,1.006647330019379
0.010000000000000002,1.012563583279057,1.2598370092796196,1.0087876760495398
0.011000000000000003,1.0151539865863453,1.2859295905039936,1.0111658546832472
0.012000000000000004,1.0179784572478414,1.312066711089864,1.013779878182069
0.013000000000000005,1.021035139330336,1.3382543617692593,1.0166278390992258
0.014000000000000005,1.0243222546907103,1.3644984763042871,1.019707908910776
0.015000000000000006,1.0278381016439218,1.3908049332616215,1.0230183366781707
0.016000000000000007,1.0315810536617525,1.4171795577569588,1.0265574477415877
0.017000000000000008,1.035549558101712,1.4436281231697246,1.0303236424434636
0.01800000000000001,1.0397421349655032,1.4701563528283104,1.0343153948816528
0.01900000000000001,1.0441573756864637,1.49676992166613,1.038531251691648
0.02000000000000001,1.0487939419454069,1.5234744578487804,1.0429698308573065
0.02100000000000001,1.0536505645142924,1.5502755443726004,1.0476298205495302
0.022000000000000013,1.058726042127167,1.57717872063492,1.05250997799236
0.023000000000000013,1.0640192403778232,1.6041894839762918,1.0576091283559474
0.024000000000000014,1.069529090643636,1.631313291194999,1.0629261636758827
0.025000000000000015,1.0752545890350362,1.6585555600341333,1.0684600417983519
0.026000000000000016,1.0811947953701009,1.685921670641535,1.074209785350619
0.027000000000000017,1.0873488321737383,1.7134169670028858,1.0801744807363256
0.028000000000000018,1.0937158837009575,1.7410467583482452,1.0863532771551112
0.02900000000000002,1.1002951949837212,1.7688163205323157,1.092745385646065
0.03000000000000002,1.1070860709008865,1.7967308973887235,1.0993500781545287
0.03100000000000002,1.1140878752707468,1.8247957020585939,1.1061666866217739
0.03200000000000002,1.1213000299656952,1.8530159182937023,1.1131946020970855
0.03300000000000002,1.1287220140485386,1.8813967017344726,1.120433273871793
0.03400000000000002,1.1363533629299976,1.9099431811630962,1.1278822086347913
0.035000000000000024,1.1441936675469346,1.9386604597320347,1.135540969649111
0.036000000000000025,1.1522425735608621,1.9675536161681704,1.143409175949089
0.037000000000000026,1.1604997805762851,1.9966277059528599,1.1514865015577145
0.03800000000000003,1.1689650413784463,2.025887762478143,1.1597726747237156
0.03900000000000003,1.1776381611900402,2.0553387981793505,1.1682674771779735
0.04000000000000003,1.1865189969464773,2.0849858056443558,1.1769707434088423
0.04100000000000003,1.1956074565892811,2.1148337586996986,1.1858823599559725
0.04200000000000003,1.2049034983772082,2.144887613473816,1.1950022647222327
0.04300000000000003,1.21440713021469,2.1751523094375957,1.2043304463033357
0.04400000000000003,1.2241184089971966,2.205632770422476,1.2138669433347793
0.04500000000000003,1.2340374399731353,2.236333905616291,1.2236118438557133
0.046000000000000034,1.244164376121896,2.267260610537074,1.233565284689362
0.047000000000000035,1.2544994175476651,2.2984177679850064,1.2437274508396223
0.048000000000000036,1.2650428108886376,2.3298102489727053,1.2540985749034734
0.04900000000000004,1.2757948487412527,2.3614429136340287,1.2646789364988376
0.05000000000000004,1.2867558690990992,2.3933206121115735,1.2754688617075303
0.05100000000000004,1.2979262548061261,2.4254481854230328,1.286468722532954
0.05200000000000004,1.3093064330238107,2.4578304663065698,1.2976789363721852
0.05300000000000004,1.320896874711936,2.4904722800453625,1.3090999655021136
0.05400000000000004,1.3326980941226367,2.523378445271461,1.3207323165792981
0.05500000000000004,1.3447106483073727,2.556553774749094,1.3325765401532064
0.05600000000000004,1.356935136636504,2.5900030761375508,1.3446332301925092
0.057000000000000044,1.369372200331132,2.6237311527337637,1.356903023624109
0.058000000000000045,1.3820225220068907,2.657742804194697,1.3693865998845811
0.059000000000000045,1.3948868252293622,2.6920428272396486,1.3820846804837137
0.060000000000000046,1.4079658740808054,2.7266360163325647,1.3949980285798382
0.06100000000000005,1.4212604727378857,2.761527164344446,1.4081274485666375
0.06200000000000005,1.4347714650600987,2.7967210631959345,1.4214737856711368
0.06300000000000004,1.4484997341885841,2.8322225044801437,1.4350379255625716
0.06400000000000004,1.4624462021550315,2.8680362800658004,1.44882079397184
0.06500000000000004,1.4766118295003796,2.9041671826807516,1.4628233563212474
0.06600000000000004,1.49099761490302,2.940620006475879,1.4770466173642531
0.06700000000000005,1.5056045948162118,2.977399547569461,1.4914916208349365
0.06800000000000005,1.5204338431144249,3.014510604572013,1.5061594491068964
0.06900000000000005,1.535486470748327,3.051957979091622,1.5210512228613078
0.07000000000000005,1.5507636254081336,3.089746476219789,1.5361681007638572
0.07100000000000005,1.5662664911950472,3.1278809049977845,1.5515112791502845
0.07200000000000005,1.5819962883005059,3.1663660788635095,1.567081991720259
0.07300000000000005,1.5979542726929756,3.2052068160788454,1.582881509239322
0.07400000000000005,1.614141735812012,3.2444079401374766,1.5989111392486308
0.07500000000000005,1.630560004269328,3.283974280153148,1.6151722257822383
0.07600000000000005,1.6472104395566007,3.3239106712283197,1.6316661490916473
0.07700000000000005,1.6640944377597575,3.3642219548031718,1.6483943253773834
0.07800000000000006,1.6812134292794774,3.4049129789848975,1.6653582065273242
0.07900000000000006,1.698568878557654,3.4459885988572236,1.6825592798615325
